name,glass-size (oz),category,measurement-1,unit-1,ingredient-1,measurement-2,unit-2,ingredient-2,measurement-3,unit-3,ingredient-3,measurement-4,unit-4,ingredient-4,measurement-5,unit-5,ingredient-5,measurement-6,unit-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz),Cocktail Measurment,Match
Gauguin,6,Cocktail Classics,2,oz, Light Rum,1,oz, Passion Fruit Syrup,1,oz, Lemon Juice,1,oz, Lime Juice,,,,,,,Cherry,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Garnish with a cherry.,Old-Fashioned Glass,6,5,FALSE
Fort Lauderdale,6,Cocktail Classics,2,oz, Light Rum,0.5,oz, Sweet Vermouth,0.25,oz, Juice of Orange,0.25,oz, Lime Juice,,,,,,,Orange Slice,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a orange slice.,Old-Fashioned Glass,6,3,FALSE
Apple Pie,6,Cordials and Liqueurs,3,oz, Apple schnapps,1,oz, Cinnamon schnapps,,,,,,,,,,,,,Apple Slice,Pour into ice-filled old-fashioned glass. Garnish with an apple slice and top with cinnamon.,Old-Fashioned Glass,6,4,FALSE
Cuban Cocktail No. 1,6,Cocktail Classics,2,oz, Light Rum,0.5,oz, Powdered Sugar,0.5,oz, Juice of a Lime,,,,,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6,3,FALSE
Cool Carlos,14,Cocktail Classics,1.5,oz, Dark rum,2,oz, Cranberry Juice,2,oz, Pineapple Juice,1,oz, Orange curacao,1,oz, Sour Mix,,,,"Pineapple Slice, Orange Slice, Cherry","Mix all ingredients except curacao with ice, shake well. Pour into collins glass and top with curacao. Garnish with a pineapple slice, an orange slice, and a cherry.",Collins Glass,14,7.5,FALSE
John Collins,14,Whiskies,2,oz, Bourbon whiskey,1,oz, Fresh lemon juice,1,oz, Soda water,0.5,oz, Simple Syrup,,,,,,,"Orange Slice, Lemon Slice, Cherry","Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with an orange slice, a lemon slice , and a cherry. Serve with straws.",Collins Glass,14,4.5,FALSE
Cherry Rum,6,Cocktail Classics,1.5,oz, cherry-flavored brandy,1.25,oz, Light Rum,1,oz, Light cream,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.75,FALSE
Casa Blanca,6,Cocktail Classics,2,oz, Light Rum,1.5,oz, Lime Juice,1.5,oz, Triple Sec,1.5,oz, Maraschino,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,6.5,FALSE
Caribbean Champagne,6,Cocktail Classics,3,oz,Chilled Champagne,0.5,oz, Creme de banana,0.5,oz, Light Rum,,,,,,,,,,Banana Slice,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Garnish with a banana slice.,Champagne Flute,6,4,FALSE
Amber Amour,14,Cordials and Liqueurs,1.5,oz, Amaretto,0.25,oz, lemon juice,0.25,oz, Simple Syrup,6,oz, Soda water,,,,,,,Cherry,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with a cherry.",Collins Glass,14,8,FALSE
The Joe Lewis,6,Whiskies,1.5,oz, Scotch Whiskey,1,oz, carrot juice,1,oz, Agave nectar,0.75,oz, Tawny port,0.5,oz,lemon juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.75,FALSE
Bacardi Cocktail,6,Cocktail Classics,1.5,oz, Bacardi Rum,0.5,oz, Juice of a Lime,0.5,oz, Grenadine,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Apple Pie No. 1,6,Cocktail Classics,1,oz, Apple Brandy,0.75,oz, Light Rum,0.75,oz, Sweet Vermouth,0.5,oz, Grenadine,1,oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Yolanda,6,Cocktail Classics,0.5,oz, Brandy,0.5,oz, Gin,0.5,oz, Anisette,1,oz, Sweet Vermouth,1,oz, Grenadine,,,,Orange Twist,Shake with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6,3.5,FALSE
Yellow Rattler,6,Cocktail Classics,1,oz, Gin,1,oz, Orange Juice,0.5,oz, Dry Vermouth,0.5,oz, Sweet Vermouth,,,,,,,Cocktail Onion,Shake with ice and strain into cocktail glass. Garnish with a cocktail onion.,Cocktail Glass,6,3,FALSE
Why Not?,6,Cocktail Classics,1,oz, Gin,1,oz, Apricot Flavored Brandy,0.5,oz, Dry Vermouth,1,oz, Lemon Juice,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Amaretto Stinger,6,Cordials and Liqueurs,1.5,oz, Amaretto,0.75,oz, White creme de menthe,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2.25,FALSE
What The Hell,6,Cocktail Classics,1,oz, Gin,1,oz, Dry Vermouth,1,oz, Apricot Flavored Brandy,1,oz, Lemon Juice,,,,,,,,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,4,FALSE
Webster Cocktail,6,Cocktail Classics,1.5,oz, Apricot Flavored Brandy,1,oz, Gin,0.5,oz, Dry Vermouth,0.5,oz, Juice of a Lime,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Union Jack Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Sloe gin,0.5,oz, Grenadine,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.25,FALSE
Jocose Julep,14,Whiskies,2,oz, Bourbon whiskey,0.5,oz, Green creme de menthe,1,oz, Fresh Lime Juice,0.5,oz, Simple Syrup,1,oz, Soda water,,,,Mint,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,14,5,FALSE
Trinity Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Dry Vermouth,0.75,oz, Sweet Vermouth,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Three Stripes Cocktail,6,Cocktail Classics,1,oz, Gin,0.5,oz, Dry Vermouth,1,oz, Orange Juice,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
