,cocktail_name,glass_id,category_ids
0,Gauguin,1,8
1,Fort Lauderdale,1,8
2,Apple Pie,1,9
3,Cuban Cocktail No. 1,4,8
4,Cool Carlos,5,8
5,John Collins,5,1
6,Cherry Rum,4,8
7,Casa Blanca,4,8
8,Caribbean Champagne,9,8
9,Amber Amour,5,9
10,The Joe Lewis,4,1
11,Bacardi Cocktail,4,8
12,Apple Pie No. 1,4,8
13,Yolanda,4,8
14,Yellow Rattler,4,8
15,Why Not?,4,8
16,Amaretto Stinger,4,9
17,What The Hell,1,8
18,Webster Cocktail,4,8
19,Union Jack Cocktail,4,8
20,Jocose Julep,5,1
21,Trinity Cocktail,4,8
22,Three Stripes Cocktail,4,8
23,Tanq-A-Rita,4,8
24,Amaretto Sour,25,9
25,Tailspin Cocktail,4,8
26,Sweet Patootie Cocktail,4,8
27,Sunshine Cocktail,4,8
28,Spring Feeling Cocktail,4,8
29,Sphinx Cocktail,4,8
30,Jitterbug Sour,4,1
31,Southern Gin Cocktail,4,8
32,Society Cocktail,4,8
33,Snyder,4,8
34,Smiler Cocktail,4,8
35,Smile Cocktail,4,8
36,Amaretto Rose,5,9
37,Sand-Martin Cocktail,4,8
38,Irish Whiskey Highball,39,1
39,Japanese,4,7
40,Roselyn Cocktail,4,8
41,Resolute Cocktail,4,8
42,Racquet Club Cocktail,4,8
43,Amaretto And Cream,4,9
44,Pollyanna Cocktai,4,8
45,Plaza Cocktail,4,8
46,Irish Whiskey Cocktail,4,1
47,Absinthe Special Cocktail,4,9
48,Nineteenth Hole,4,8
49,Montreal Club Bouncer,1,8
50,Monte Carlo Imperial Highball,39,8
51,Irish Shillelagh,52,1
52,Melon Cocktail,4,8
53,Mamie's Sister,5,8
54,Irish Rickey,39,1
55,Maiden's Prayer,4,8
56,Lone Tree Cocktail,4,8
57,London Buck,39,8
58,Leap Frog Highball,39,8
59,Incider Cocktail,1,1
60,Kup's Indispensable Cocktail,4,8
61,Knock-Out Cocktail,4,8
62,K. G. B. Cocktail,4,8
63,Imperial Fizz,39,1
64,Jeyplak Cocktail,4,8
65,H. P. W. Cocktail,4,8
66,I.A.P.,5,1
67,Hotel Plaza Cocktail,4,8
68,Hoffman House Cocktail,4,8
69,Hawaiin Cocktail,4,8
70,White Russian,1,11
