name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Gauguin,Cocktail Classics,2 oz, Light Rum,1 oz, Passion Fruit Syrup,1 oz, Lemon Juice,1 oz, Lime Juice,,,,,Cherry,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Garnish with a cherry.,Old-Fashioned Glass,6
Fort Lauderdale,Cocktail Classics,1.5 oz, Light Rum,.5 oz, Sweet Vermouth,.25 oz, Juice of Orange,.25 oz, Lime Juice,,,,,Orange Slice,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a orange slice.,Old-Fashioned Glass,6
Apple Pie,Cordials and Liqueurs,3 oz, Apple schnapps,1 oz, Cinnamon schnapps,,,,,,,,,Apple Slice,Pour into ice-filled old-fashioned glass. Garnish with an apple slice and top with cinnamon.,Old-Fashioned Glass,6
Cuban Cocktail No. 1,Cocktail Classics,2 oz, Light Rum,.5 oz, Powdered Sugar,.5 oz, Juice of a Lime,,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6
Cool Carlos,Cocktail Classics,1.5 oz, Dark rum,2 oz, Cranberry Juice,2 oz, Pineapple Juice,1 oz, Orange curacao,1 oz, Sour Mix,,,"Pineapple Slice, Orange Slice, Cherry","Mix all ingredients except curacao with ice, shake well. Pour into collins glass and top with curacao. Garnish with a pineapple slice, an orange slice, and a cherry.",Collins Glass,14
John Collins,Whiskies,2 oz, Bourbon whiskey,1 oz,  lemon juice,1 oz, Soda water,.5 oz, Simple Syrup,,,,,"Orange Slice, Lemon Slice, Cherry","Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with an orange slice, a lemon slice , and a cherry. Serve with straws.",Collins Glass,14
Cherry Rum,Cocktail Classics,1.5 oz, cherry-flavored brandy,1.25 oz, Light Rum,1 oz, Light cream,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Casa Blanca,Cocktail Classics,2 oz, Light Rum,1.5 oz, Lime Juice,1.5 oz, Triple Sec,1.5 oz, Maraschino,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Caribbean Champagne,Cocktail Classics,3,Chilled Champagne,.5 oz, Creme de banana,.5 oz, Light Rum,,,,,,,Banana Slice,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Garnish with a banana slice.,champagne_flute,6
Amber Amour,Cordials and Liqueurs,1.5 oz, Amaretto,.25 oz, lemon juice,.25 oz, Simple Syrup,6, Soda water,,,,,Cherry,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with a cherry.",Collins Glass,14
The Joe Lewis,Whiskies,1.5 oz, Scotch Whiskey,1 oz, carrot juice,1 oz, Agave nectar,.75 oz, Tawny port,.5 oz,lemon juice,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bacardi Cocktail,Cocktail Classics,1.5 oz, Bacardi Rum,.5 oz, Juice of a Lime,.5 oz, Grenadine,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Apple Pie No. 1,Cocktail Classics,1 oz, Apple Brandy,.75 oz, Light Rum,.75 oz, Sweet Vermouth,.5 oz, Grenadine,1 oz, Lemon Juice,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Yolanda,Cocktail Classics,.5 oz, Brandy,.5 oz, Gin,.5 oz, Anisette,1 oz, Sweet Vermouth,1 oz, Grenadine,,,Orange Twist,Shake with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
Yellow Rattler,Cocktail Classics,1 oz, Gin,1 oz, Orange Juice,.5 oz, Dry Vermouth,.5 oz, Sweet Vermouth,,,,,Cocktail Onion,Shake with ice and strain into cocktail glass. Garnish with a cocktail onion.,Cocktail Glass,6
Why Not?,Cocktail Classics,1 oz, Gin,1 oz, Apricot Flavored Brandy,.5 oz, Dry Vermouth,1 oz, Lemon Juice,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto Stinger,Cordials and Liqueurs,1.5 oz, Amaretto,.75 oz, White creme de menthe,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
What The Hell,Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1 oz, Apricot Flavored Brandy,1 oz, Lemon Juice,,,,,,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Webster Cocktail,Cocktail Classics,1.5 oz, Apricot Flavored Brandy,1 oz, Gin,.5 oz, Dry Vermouth,.5 oz, Juice of a Lime,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Union Jack Cocktail,Cocktail Classics,1.5 oz, Gin,.75 oz, Sloe gin,.5 oz, Grenadine,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jocose Julep,Whiskies,2.5 oz, Bourbon whiskey,.5 oz, Green creme de menthe,1 oz,  Lime Juice,.5 oz, Simple Syrup,, Soda water,,,Mint,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,14
Trinity Cocktail,Cocktail Classics,.75 oz, Gin,.75 oz, Dry Vermouth,.75 oz, Sweet Vermouth,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Three Stripes Cocktail,Cocktail Classics,1 oz, Gin,.5 oz, Dry Vermouth,1 oz, Orange Juice,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tanq-A-Rita,Cocktail Classics,1.5 oz,Gin,3 oz, Margarita Mix,1 oz, Triple Sec,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto Sour,Cordials and Liqueurs,1.5 oz, Amaretto,.75 oz,  lemon juice,.5 oz, Simple Syrup,,,,,,,Orange Slice,Shake with ice and strain into chilled sour glass. Garnish with an orange slice.,champagne_extra_fluted,2
Tailspin Cocktail,Cocktail Classics,.75 oz, Gin,.75 oz, Sweet Vermouth,.75 oz, Green Chartreuse,1 oz, Orange Bitters,,,,,"Lemon Twist, Cherry, Olive",Stir with ice and strain into cocktail glass. Garnish with a lemon twist and a cherry or an olive.,Cocktail Glass,6
Sweet Patootie Cocktail,Cocktail Classics,1 oz, Gin,.5 oz, Triple Sec,1 oz, Orange Juice,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Sunshine Cocktail,Cocktail Classics,.75 oz, Sweet Vermouth,1.5 oz, Gin,1 oz, Bitters,,,,,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with an orange twist,Cocktail Glass,6
Spring Feeling Cocktail,Cocktail Classics,1 oz, Lemon Juice,.5 oz, Green Chartreuse,1 oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Sphinx Cocktail,Cocktail Classics,1.5 oz, Gin,1.5 oz, Sweet Vermouth,1.5 oz, Dry Vermouth,,,,,,,Lemon Slice,Stir with ice and strain into cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6
Jitterbug Sour,Whiskies,2 oz, Straight rye whiskey,.5 oz, Benedictine,.75 oz,  lemon juice,.5 oz, Honey Syrup,1 oz, Egg White,1 dash, Angostura Bitters,Lemon Twist,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and garnish with a lemon twist.,Cocktail Glass,6
Southern Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Orange Bitters,.5 oz, Triple Sec,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Society Cocktail,Cocktail Classics,1.5 oz, Gin,.75 oz, Dry Vermouth,.25 oz, Grenadine,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Snyder,Cocktail Classics,1.5 oz, Gin,.5 oz, Dry Vermouth,.5 oz, Triple Sec,,,,,,,Lemon Twist,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Smiler Cocktail,Cocktail Classics,.5 oz, Sweet Vermouth,.5 oz, Dry Vermouth,1 oz, Gin,1 oz, Bitters,.25 oz, Orange Juice,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Smile Cocktail,Cocktail Classics,1 oz, Grenadine,1 oz, Gin,.5 oz, Lemon Juice,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto Rose,Cordials and Liqueurs,1.5 oz, Amaretto,.5 oz,  lemon juice,.5 oz, Simple Syrup,, Soda water,,,,,,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.,Collins Glass,14
Sand-Martin Cocktail,Cocktail Classics,1 oz, Green Chartreuse,1.5 oz, Sweet Vermouth,1.5 oz, Gin,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Irish Whiskey Highball,Whiskies,2 oz, Irish Whiskey,1 oz, Ginger ale or soda water,,,,,,,,,Lemon Twist,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Japanese,Brandy,2 oz, Brandy,.5 oz, orgeat or almond syrup,2 oz, Angostura Bitters,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Roselyn Cocktail,Cocktail Classics,.75 oz, Dry Vermouth,1.5 oz, Gin,.5 oz, Grenadine,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Resolute Cocktail,Cocktail Classics,.25 oz, Juice of a Lemon,.5 oz, Apricot Flavored Brandy,1 oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Racquet Club Cocktail,Cocktail Classics,1.5 oz, Gin,.75 oz, Dry Vermouth,1 oz, Orange Bitters,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
