name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Gauguin,Cocktail Classics,2 oz, Light Rum,1 oz, Passion Fruit Syrup,1 oz, Lemon Juice,1 oz, Lime Juice,,,,,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Garnish with a cherry.,Old-Fashioned Glass,6
Fort Lauderdale,Cocktail Classics,1 1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,1/4 oz, Juice of Orange,1/4 oz, Juice of a Lime,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a orange slice.,Old-Fashioned Glass,6
Apple Pie,Cordials and Liqueurs,3 oz, Apple schnapps,1 oz, Cinnamon schnapps,, Apple slice,,,,,,,Pour into ice-filled old-fashioned glass. Garnish with an apple slice and top with cinnamon.,Old-Fashioned Glass,6
Cuban Cocktail No. 1,Cocktail Classics,1/2 oz, Juice of a Lime,1/2 oz, Powdered Sugar,2 oz, Light Rum,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6
Cool Carlos,Cocktail Classics,1 1/2 oz, Dark rum,2 oz, Cranberry Juice,2 oz, Pineapple Juice,1 oz, Orange curacao,1 oz, Sour Mix,,,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and top with curacao. Garnish with a pineapple slice, an orange slice, and a cherry.",Collins Glass,14
John Collins,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Soda water,1 oz," Orange and lemon wheels, maraschino cherry",,,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with an orange slice, a lemon slice , and a cherry. Serve with straws.",Collins Glass,14
Cherry Rum,Cocktail Classics,1 1/4 oz, Light Rum,1 1/2 oz, cherry-flavored brandy,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Casa Blanca,Cocktail Classics,2 oz, Light Rum,1 1/2 oz, Lime Juice,1 1/2 oz, Triple Sec,1 1/2 oz, Maraschino,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Caribbean Champagne,Cocktail Classics,1/2 oz, Light Rum,1/2 oz, Creme de banana, ,Chilled Champagne,,,,,,,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Garnish with a banana slice.,Champagne Flute,6
Amber Amour,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,, Soda water, Maraschino cherry,,,,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with a cherry.",Collins Glass,14
